timestamp,capture_wait_avg,capture_wait_max,capture_wait_min,capture_wait_count,slow_poll_avg,slow_poll_max,slow_poll_min,slow_poll_count,fast_poll_avg,fast_poll_max,fast_poll_min,fast_poll_count,predict_avg,predict_max,predict_min,predict_count,blur_avg,blur_max,blur_min,blur_count,send_avg,send_max,send_min,send_count,frames_total,masks_total_total
17:20:32,0.005,0.022,0.002,123,0.031,1.282,0.002,123,0.025,0.251,0.001,123,0.019,0.067,0.001,123,2.671,16.169,0.211,123,0.004,0.01,0.002,123,123,585
17:20:34,0.004,0.02,0.001,143,0.02,0.879,0.002,143,0.021,0.432,0.001,143,0.021,0.253,0.002,143,2.541,11.689,0.144,143,0.004,0.021,0.002,143,143,702
17:20:36,0.004,0.014,0.002,147,0.031,1.744,0.001,147,0.015,0.101,0.0,147,0.025,0.135,0.001,147,2.842,13.064,0.214,147,0.004,0.007,0.001,147,147,1115
17:20:38,0.004,0.02,0.001,147,0.142,11.068,0.001,147,0.017,0.111,0.001,147,0.025,0.079,0.004,147,2.325,13.861,0.186,147,0.004,0.013,0.001,147,147,1090
17:20:40,0.03,1.321,0.002,170,0.128,10.696,0.001,170,0.018,0.161,0.001,170,0.02,0.105,0.001,170,1.579,14.269,0.002,170,0.003,0.012,0.001,170,170,957
17:20:42,0.006,0.345,0.001,173,0.031,1.908,0.001,173,0.019,0.138,0.001,173,0.018,0.282,0.001,173,1.385,10.374,0.056,173,0.004,0.066,0.001,173,173,720
17:20:44,0.004,0.018,0.002,174,0.075,7.232,0.001,174,0.018,0.141,0.001,174,0.019,0.082,0.001,174,1.293,9.201,0.108,174,0.003,0.009,0.001,174,174,716
17:20:46,0.004,0.023,0.002,176,0.116,8.592,0.001,176,0.021,0.203,0.001,176,0.015,0.064,0.001,176,1.767,12.015,0.064,176,0.003,0.02,0.001,176,176,626
17:20:48,0.004,0.028,0.002,195,0.112,12.339,0.001,195,0.013,0.108,0.0,195,0.017,0.087,0.001,195,1.532,12.925,0.002,195,0.003,0.012,0.001,195,195,922
17:20:50,0.004,0.372,0.002,257,0.009,0.581,0.001,257,0.008,0.066,0.001,257,0.011,0.062,0.001,257,1.514,11.912,0.002,257,0.002,0.011,0.001,257,257,1253
