timestamp,capture_wait_avg,capture_wait_max,capture_wait_min,capture_wait_count,slow_poll_avg,slow_poll_max,slow_poll_min,slow_poll_count,match_avg,match_max,match_min,match_count,fast_poll_avg,fast_poll_max,fast_poll_min,fast_poll_count,predict_avg,predict_max,predict_min,predict_count,blur_avg,blur_max,blur_min,blur_count,send_avg,send_max,send_min,send_count,frames_total,masks_total_total
22:46:31,0.004,0.394,0.001,443,0.003,0.009,0.002,443,0.0,0.001,0.0,443,0.003,0.007,0.001,443,0.002,0.004,0.001,443,0.004,0.017,0.002,443,0.002,0.042,0.001,443,443,0
22:46:33,0.004,0.378,0.001,454,0.003,0.012,0.002,454,0.0,0.001,0.0,454,0.003,0.007,0.0,454,0.002,0.004,0.001,454,0.004,0.012,0.002,454,0.002,0.005,0.001,454,454,0
22:46:35,0.004,0.406,0.001,440,0.003,0.009,0.002,440,0.0,0.001,0.0,440,0.003,0.008,0.0,440,0.002,0.006,0.001,440,0.004,0.018,0.002,440,0.002,0.005,0.001,440,440,0
22:46:37,0.009,0.796,0.001,399,0.003,0.024,0.002,399,0.0,0.002,0.0,399,0.003,0.01,0.0,399,0.002,0.009,0.001,399,0.004,0.014,0.002,399,0.002,0.011,0.001,399,399,0
22:46:39,0.021,0.581,0.002,268,0.005,0.077,0.002,268,0.035,8.997,0.0,268,0.003,0.009,0.001,268,0.008,0.023,0.001,268,1.058,8.858,0.002,268,0.002,0.024,0.001,268,268,846
22:46:41,0.002,0.085,0.001,295,0.003,0.035,0.002,295,0.0,0.001,0.0,295,0.003,0.005,0.002,295,0.011,0.022,0.009,295,2.064,8.852,0.115,295,0.002,0.004,0.001,295,295,1770
22:46:43,0.002,0.006,0.001,301,0.003,0.007,0.002,301,0.0,0.001,0.0,301,0.003,0.007,0.002,301,0.011,0.024,0.009,301,1.782,9.758,0.117,301,0.002,0.005,0.001,301,301,1806
22:46:45,0.002,0.006,0.002,291,0.003,0.007,0.002,291,0.0,0.001,0.0,291,0.003,0.005,0.002,291,0.012,0.03,0.009,291,1.771,8.352,0.117,291,0.002,0.004,0.001,291,291,1746
22:46:47,0.002,0.004,0.002,314,0.003,0.009,0.002,314,0.0,0.001,0.0,314,0.003,0.006,0.002,314,0.011,0.024,0.009,314,1.785,8.713,0.117,314,0.002,0.005,0.001,314,314,1884
22:46:49,0.002,0.006,0.001,310,0.003,0.005,0.002,310,0.0,0.001,0.0,310,0.003,0.005,0.002,310,0.011,0.044,0.009,310,1.808,7.995,0.116,310,0.002,0.003,0.001,310,310,1860
22:46:51,0.002,0.006,0.001,296,0.003,0.005,0.002,296,0.0,0.001,0.0,296,0.003,0.005,0.002,296,0.012,0.022,0.009,296,1.345,10.82,0.116,296,0.002,0.005,0.001,296,296,1776
22:46:53,0.029,0.793,0.001,257,0.004,0.026,0.002,257,0.001,0.212,0.0,257,0.006,0.126,0.001,257,0.012,0.052,0.002,257,2.014,9.302,0.116,257,0.002,0.013,0.001,257,257,1542
22:46:55,0.03,1.073,0.002,263,0.004,0.03,0.002,263,0.003,0.21,0.0,263,0.006,0.138,0.001,263,0.012,0.041,0.002,263,1.792,10.128,0.118,263,0.002,0.012,0.001,263,263,1578
