timestamp,frame_id,capture_wait_ms,slow_poll_ms,match_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,jitter_center_px,jitter_corners_px,masks_created,masks_killed,loop_ms
503225.696396,1,0.002,0.018,0.001,0.004,0.002,0.003,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2.347
503226.429014,2,0.283,0.006,0.001,0.004,0.002,0.007,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.92
503226.501132,3,0.294,0.006,0.001,0.002,0.002,0.003,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.865
503226.63667,4,0.361,0.01,0.0,0.004,0.004,0.006,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.012
503226.647759,5,0.32,0.013,0.001,0.004,0.005,0.003,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.874
503227.172568,6,0.705,0.01,0.001,0.003,0.004,0.007,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.23
503227.21442,7,0.299,0.008,0.001,0.002,0.003,0.003,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.805
503227.423791,8,0.367,0.007,0.001,0.006,0.003,0.003,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.028
503228.428514,9,0.394,0.008,0.001,0.004,0.003,0.006,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.594
503229.422435,10,0.265,0.009,0.001,0.003,0.003,0.004,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.566
503230.429865,11,0.373,0.006,0.001,0.003,0.003,0.008,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.862
503231.399048,12,0.378,0.007,0.001,0.003,0.003,0.004,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.576
503232.405368,13,0.406,0.006,0.001,0.004,0.002,0.006,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.999
503233.412203,14,0.391,0.007,0.001,0.003,0.003,0.006,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.298
503234.299598,15,0.3,0.007,0.0,0.002,0.004,0.008,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.677
503234.329932,16,0.796,0.008,0.001,0.003,0.003,0.006,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.835
503234.371144,17,0.403,0.024,0.001,0.008,0.009,0.007,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,15.128
503234.433931,18,0.377,0.01,0.0,0.004,0.004,0.007,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.076
503234.560505,19,0.372,0.009,0.001,0.003,0.002,0.003,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.956
503235.423206,20,0.402,0.006,0.001,0.003,0.003,0.004,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.106
503235.713491,21,0.581,0.01,0.001,0.005,0.005,0.006,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,12.317
503235.74681,22,0.343,0.015,0.001,0.008,0.007,0.004,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,12.551
503235.806663,23,0.532,0.026,0.001,0.009,0.008,0.004,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,12.915
503235.865494,24,0.306,0.024,0.001,0.008,0.009,0.01,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,13.274
503235.889106,25,0.421,0.012,0.001,0.008,0.007,0.014,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,14.757
503235.915486,26,0.327,0.014,0.001,0.004,0.005,0.007,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.14
503235.959666,27,0.358,0.017,0.001,0.007,0.004,0.005,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,15.567
503236.01136,28,0.275,0.01,0.001,0.003,0.005,0.004,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.888
503236.03132,29,0.35,0.015,0.001,0.007,0.006,0.004,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.623
503236.05959,30,0.288,0.015,0.001,0.007,0.005,0.005,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.11
503236.176708,31,0.435,0.012,0.0,0.003,0.003,0.005,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.051
503236.217493,32,0.411,0.021,0.001,0.007,0.006,0.005,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.381
503236.248188,33,0.312,0.012,0.001,0.003,0.004,0.003,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.784
503251.237474,34,0.348,0.026,0.001,0.005,0.045,1.84,0.004,0.0,0.0,14272.02,0,0,1,6,0.0,0.0,0,0,18.326
503251.256277,35,0.41,0.01,0.001,0.097,0.005,0.477,0.005,0.0,19.77,19.77,0,1,0,6,0.0,0.0,0,0,18.986
503251.275664,36,0.54,0.011,0.001,0.004,0.035,2.167,0.004,0.0,0.0,39.16,0,0,1,6,0.0,0.0,0,0,18.691
503251.294685,37,0.479,0.019,0.001,0.007,0.052,1.784,0.004,0.0,0.0,58.18,0,0,1,6,0.0,0.0,0,0,20.736
503251.315759,38,0.456,0.022,0.001,0.126,0.003,2.434,0.003,0.0,63.0,63.0,0,1,0,6,0.0,0.0,0,0,21.786
503251.337886,39,0.347,0.009,0.001,0.091,0.002,0.248,0.008,0.0,44.63,44.63,0,1,0,6,0.0,0.0,0,0,17.555
503251.355868,40,0.442,0.011,0.001,0.004,0.028,3.063,0.006,0.0,0.0,62.61,0,0,1,6,0.0,0.0,0,0,17.858
503251.374078,41,0.477,0.01,0.0,0.069,0.002,0.873,0.003,0.0,44.04,44.04,0,1,0,6,0.0,0.0,0,0,17.386
503251.407648,42,0.359,0.007,0.001,0.093,0.003,1.471,0.002,0.0,56.25,56.25,0,1,0,6,0.0,0.0,0,0,22.774
503251.431966,43,0.57,0.014,0.001,0.006,0.034,0.47,0.003,0.0,0.0,80.57,0,0,1,6,0.0,0.0,0,0,18.936
503251.451272,44,0.793,0.01,0.001,0.099,0.002,3.176,0.013,0.0,79.21,79.21,0,1,0,6,0.0,0.0,0,0,20.509
503251.48289,45,0.515,0.012,0.001,0.004,0.036,0.569,0.004,0.0,0.0,110.83,0,0,1,6,0.0,0.0,0,0,19.424
503251.502786,46,0.478,0.014,0.001,0.123,0.004,0.336,0.002,0.0,54.41,54.41,0,1,0,6,0.0,0.0,0,0,15.187
503251.51831,47,0.543,0.005,0.0,0.003,0.02,0.933,0.003,0.0,0.0,69.93,0,0,1,6,0.0,0.0,0,0,14.143
503252.908952,48,0.802,0.016,0.001,0.008,0.041,0.242,0.004,0.0,0.0,928.25,0,0,1,6,0.0,0.0,0,0,16.883
503252.946189,49,0.938,0.01,0.001,0.006,0.029,6.348,0.006,0.0,0.0,965.49,0,0,1,6,0.0,0.0,0,0,26.117
503252.972748,50,0.663,0.019,0.001,0.118,0.002,0.895,0.003,0.0,64.24,64.24,0,1,0,6,0.0,0.0,0,0,24.235
503253.011825,51,0.592,0.009,0.001,0.074,0.002,3.002,0.012,0.0,67.68,67.68,0,1,0,6,0.0,0.0,0,0,21.231
503253.033578,52,0.87,0.014,0.001,0.118,0.003,5.117,0.003,0.0,66.92,66.92,0,1,0,6,0.0,0.0,0,0,22.169
503253.056097,53,0.451,0.012,0.001,0.004,0.018,2.728,0.004,0.0,0.0,89.44,0,0,1,6,0.0,0.0,0,0,24.018
503253.080846,54,1.073,0.013,0.001,0.138,0.002,1.472,0.005,0.0,50.45,50.45,0,1,0,6,0.0,0.0,0,0,19.907
503253.101165,55,0.624,0.011,0.001,0.005,0.027,2.162,0.004,0.0,0.0,70.77,0,0,1,6,0.0,0.0,0,0,21.215
503253.131913,56,0.437,0.011,0.001,0.005,0.041,0.824,0.004,0.0,0.0,78.57,0,0,1,6,0.0,0.0,0,0,15.109
503253.159441,57,0.44,0.004,0.0,0.059,0.002,0.258,0.002,0.0,62.44,62.44,0,1,0,6,0.0,0.0,0,0,12.602
503253.17263,58,0.273,0.013,0.001,0.096,0.003,0.676,0.003,0.0,49.16,49.16,0,1,0,6,0.0,0.0,0,0,13.621
503254.16726,59,0.386,0.012,0.001,0.006,0.028,2.078,0.002,0.0,0.0,582.54,0,0,1,6,0.0,0.0,0,0,17.163
503254.184812,60,0.415,0.008,0.0,0.004,0.019,0.24,0.005,0.0,0.0,600.09,0,0,1,6,0.0,0.0,0,0,13.46
503254.211008,61,0.421,0.009,0.001,0.023,0.004,0.006,0.002,0.0,44.47,0.0,0,1,0,0,0.0,0.0,0,6,15.484
503254.226572,62,0.32,0.01,0.001,0.005,0.002,0.006,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.404
503254.257318,63,0.411,0.011,0.001,0.004,0.002,0.005,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.874
503254.295753,64,0.399,0.023,0.001,0.011,0.009,0.007,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.205
503254.347861,65,0.287,0.009,0.001,0.005,0.003,0.004,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.632
