timestamp,frame_id,capture_wait_ms,slow_poll_ms,match_ms,fast_poll_ms,predict_ms,blur_ms,send_ms,detect_age_ms,fast_age_ms,mask_age_avg_ms,slow_updated,fast_updated,predicted,mask_count,loop_ms
128634.812813,1,0.003,0.024,0.0,0.005,0.021,0.004,0.004,0.0,0.0,0.0,0,0,0,0,3.532
128634.90069,2,0.555,0.014,0.001,0.007,0.021,0.012,0.003,0.0,0.0,0.0,0,0,0,0,17.974
128634.930432,3,1.103,0.006,0.0,0.003,0.008,0.004,0.002,0.0,0.0,0.0,0,0,0,0,11.794
128634.966988,4,0.852,0.012,0.001,0.005,0.011,0.009,0.005,0.0,0.0,0.0,0,0,0,0,12.418
128635.024157,5,2.374,0.013,0.001,0.007,0.013,0.014,0.005,0.0,0.0,0.0,0,0,0,0,23.676
128635.048097,6,1.799,0.007,0.0,0.003,0.007,0.01,0.003,0.0,0.0,0.0,0,0,0,0,13.142
128635.084786,7,1.137,0.024,0.001,0.013,0.016,0.003,0.002,0.0,0.0,0.0,0,0,0,0,14.74
128635.134145,8,0.653,0.023,0.001,0.009,0.023,0.011,0.005,0.0,0.0,0.0,0,0,0,0,21.355
128635.186641,9,0.724,0.022,0.001,0.005,0.018,0.005,0.003,0.0,0.0,0.0,0,0,0,0,13.765
128635.222672,10,0.666,0.013,0.001,0.005,0.07,0.009,0.004,0.0,0.0,0.0,0,0,1,0,17.679
128635.240548,11,0.439,0.019,0.001,0.006,0.075,0.034,0.005,0.0,0.0,0.0,0,0,1,0,18.436
128635.272683,12,1.091,0.011,0.001,0.004,0.048,0.012,0.009,0.0,0.0,0.0,0,0,1,0,14.955
128635.311803,13,0.474,0.025,0.002,0.009,0.094,0.008,0.003,0.0,0.0,0.0,0,0,1,0,15.29
128635.362813,14,1.159,0.014,0.0,0.005,0.055,0.004,0.002,0.0,0.0,0.0,0,0,1,0,11.795
128635.374695,15,0.334,0.022,0.0,0.006,0.082,0.009,0.006,0.0,0.0,0.0,0,0,1,0,12.667
128635.411374,16,0.724,0.052,0.004,0.013,0.09,0.008,0.003,0.0,0.0,0.0,0,0,1,0,19.451
128635.440468,17,0.372,1.076,3.519,0.001,0.019,9.363,0.003,276.71,0.0,263.26,1,0,1,1,28.798
128635.469585,18,0.314,0.007,0.0,0.003,0.037,3.76,0.005,0.0,0.0,292.38,0,0,1,1,21.846
128635.491791,19,0.317,0.011,0.001,4.369,0.086,3.508,0.004,0.0,36.16,36.16,0,1,1,1,24.584
128635.516594,21,0.371,0.015,0.001,4.587,0.056,2.997,0.004,0.0,46.06,46.06,0,1,1,1,26.729
128635.543618,22,0.433,0.762,0.002,0.001,0.092,3.334,0.005,125.62,0.0,73.08,1,0,1,1,24.138
128635.568045,23,0.441,0.038,0.001,3.756,0.066,3.47,0.004,0.0,31.13,31.13,0,1,1,1,27.108
128635.595402,24,0.395,0.012,0.001,1.999,0.048,2.562,0.005,0.0,36.64,36.64,0,1,1,1,17.162
128635.612893,25,0.369,0.014,0.001,3.081,0.129,3.307,0.011,0.0,23.86,23.86,0,1,1,1,24.217
128635.659893,26,0.35,0.696,0.006,0.002,0.1,3.221,0.016,159.82,0.0,51.76,1,0,1,1,17.936
128635.678067,27,0.503,0.007,0.001,7.316,0.043,3.766,0.005,0.0,31.65,31.65,0,1,1,1,24.398
128635.72333,28,0.312,0.01,0.0,0.005,0.053,2.987,0.005,0.0,0.0,52.03,0,0,1,1,18.79
128635.742342,29,0.281,2.299,1.961,0.002,0.048,2.976,0.003,146.62,0.0,134.21,1,0,1,2,23.691
128635.784164,30,0.333,0.007,0.0,0.003,0.043,10.005,0.004,0.0,0.0,176.03,0,0,1,2,26.928
128635.811422,31,0.376,2.783,5.782,0.001,0.052,2.666,0.008,125.13,0.0,203.29,1,0,1,2,31.486
