timestamp,frame_id,uid,x,y,w,h,last_source,confidence,ttl,fast_miss_count,vx,vy,score,score_brut,fp_penalty,transition_density,s_td,density_raw,s_dens,cc_raw,s_cc,s_hreg,row_fill,tiers_active,vproj,s_vp,s_pf,bg_score
503251.237474,34,0,12,496,48,38,slow,0.129,4,0,0.0,0.0,0.129,0.279,0.15,0.2043,0.1819,0.5118,0.9765,1,0.125,0.0,1.0,3,0.0789,0.9893,0.2364,0.8215
503251.237474,34,1,66,500,176,30,slow,0.2005,4,0,0.0,0.0,0.2005,0.3505,0.15,0.2966,0.4891,0.4048,0.8095,1,0.125,0.0,1.0,3,0.0658,0.8581,0.5119,0.7668
503251.237474,34,2,964,504,186,26,slow,0.5538,4,0,0.0,0.0,0.5538,0.5538,0.0,0.2893,0.4647,0.2901,0.5802,2,0.25,0.7531,1.0,3,0.0431,0.6306,0.6069,0.9182
503251.237474,34,3,1034,446,170,22,slow,0.7519,4,0,0.0,0.0,0.7519,0.7519,0.0,0.4028,0.8427,0.3937,0.7874,3,0.375,0.984,1.0,3,0.0887,0.9128,0.5513,0.8305
503251.237474,34,4,1324,498,104,20,slow,0.3634,4,0,0.0,0.0,0.3634,0.4634,0.1,0.3936,0.8122,0.3385,0.6771,2,0.25,0.0,1.0,3,0.0774,0.9745,0.71,0.6446
503251.237474,34,5,1694,834,46,12,slow,0.6169,4,0,0.0,0.0,0.6169,0.7169,0.1,0.4167,0.889,0.2632,0.5263,4,0.5,0.9333,1.0,3,0.0952,0.8478,0.4041,0.5867
503251.256277,35,0,12,496,48,38,fast,0.129,4,0,0.0,0.0,0.129,0.279,0.15,0.2043,0.1819,0.5118,0.9765,1,0.125,0.0,1.0,3,0.0789,0.9893,0.2364,0.8215
503251.256277,35,1,66,500,176,30,fast,0.2005,4,0,0.0,0.0,0.2005,0.3505,0.15,0.2966,0.4891,0.4048,0.8095,1,0.125,0.0,1.0,3,0.0658,0.8581,0.5119,0.7668
503251.256277,35,2,964,504,186,26,fast,0.5538,4,0,0.0,0.0,0.5538,0.5538,0.0,0.2893,0.4647,0.2901,0.5802,2,0.25,0.7531,1.0,3,0.0431,0.6306,0.6069,0.9182
503251.256277,35,3,1034,446,170,22,fast,0.7519,4,0,0.0,0.0,0.7519,0.7519,0.0,0.4028,0.8427,0.3937,0.7874,3,0.375,0.984,1.0,3,0.0887,0.9128,0.5513,0.8305
503251.256277,35,4,1324,498,104,20,fast,0.3634,4,0,0.0,0.0,0.3634,0.4634,0.1,0.3936,0.8122,0.3385,0.6771,2,0.25,0.0,1.0,3,0.0774,0.9745,0.71,0.6446
503251.256277,35,5,1694,834,46,12,fast,0.6169,4,0,0.0,0.0,0.6169,0.7169,0.1,0.4167,0.889,0.2632,0.5263,4,0.5,0.9333,1.0,3,0.0952,0.8478,0.4041,0.5867
503251.275664,36,0,12,496,48,38,fast,0.129,4,0,0.0,0.0,0.129,0.279,0.15,0.2043,0.1819,0.5118,0.9765,1,0.125,0.0,1.0,3,0.0789,0.9893,0.2364,0.8215
503251.275664,36,1,66,500,176,30,fast,0.2005,4,0,0.0,0.0,0.2005,0.3505,0.15,0.2966,0.4891,0.4048,0.8095,1,0.125,0.0,1.0,3,0.0658,0.8581,0.5119,0.7668
503251.275664,36,2,964,504,186,26,fast,0.5538,4,0,0.0,0.0,0.5538,0.5538,0.0,0.2893,0.4647,0.2901,0.5802,2,0.25,0.7531,1.0,3,0.0431,0.6306,0.6069,0.9182
503251.275664,36,3,1034,446,170,22,fast,0.7519,4,0,0.0,0.0,0.7519,0.7519,0.0,0.4028,0.8427,0.3937,0.7874,3,0.375,0.984,1.0,3,0.0887,0.9128,0.5513,0.8305
503251.275664,36,4,1324,498,104,20,fast,0.3634,4,0,0.0,0.0,0.3634,0.4634,0.1,0.3936,0.8122,0.3385,0.6771,2,0.25,0.0,1.0,3,0.0774,0.9745,0.71,0.6446
503251.275664,36,5,1694,834,46,12,fast,0.6169,4,0,0.0,0.0,0.6169,0.7169,0.1,0.4167,0.889,0.2632,0.5263,4,0.5,0.9333,1.0,3,0.0952,0.8478,0.4041,0.5867
503251.294685,37,0,12,496,48,38,fast,0.129,4,0,0.0,0.0,0.129,0.279,0.15,0.2043,0.1819,0.5118,0.9765,1,0.125,0.0,1.0,3,0.0789,0.9893,0.2364,0.8215
503251.294685,37,1,66,500,176,30,fast,0.2005,4,0,0.0,0.0,0.2005,0.3505,0.15,0.2966,0.4891,0.4048,0.8095,1,0.125,0.0,1.0,3,0.0658,0.8581,0.5119,0.7668
503251.294685,37,2,964,504,186,26,fast,0.5538,4,0,0.0,0.0,0.5538,0.5538,0.0,0.2893,0.4647,0.2901,0.5802,2,0.25,0.7531,1.0,3,0.0431,0.6306,0.6069,0.9182
503251.294685,37,3,1034,446,170,22,fast,0.7519,4,0,0.0,0.0,0.7519,0.7519,0.0,0.4028,0.8427,0.3937,0.7874,3,0.375,0.984,1.0,3,0.0887,0.9128,0.5513,0.8305
503251.294685,37,4,1324,498,104,20,fast,0.3634,4,0,0.0,0.0,0.3634,0.4634,0.1,0.3936,0.8122,0.3385,0.6771,2,0.25,0.0,1.0,3,0.0774,0.9745,0.71,0.6446
503251.294685,37,5,1694,834,46,12,fast,0.6169,4,0,0.0,0.0,0.6169,0.7169,0.1,0.4167,0.889,0.2632,0.5263,4,0.5,0.9333,1.0,3,0.0952,0.8478,0.4041,0.5867
503251.315759,38,0,12,496,48,38,fast,0.129,4,0,0.0,0.0,0.129,0.279,0.15,0.2043,0.1819,0.5118,0.9765,1,0.125,0.0,1.0,3,0.0789,0.9893,0.2364,0.8215
503251.315759,38,1,66,500,176,30,fast,0.2005,4,0,0.0,0.0,0.2005,0.3505,0.15,0.2966,0.4891,0.4048,0.8095,1,0.125,0.0,1.0,3,0.0658,0.8581,0.5119,0.7668
503251.315759,38,2,964,504,186,26,fast,0.5538,4,0,0.0,0.0,0.5538,0.5538,0.0,0.2893,0.4647,0.2901,0.5802,2,0.25,0.7531,1.0,3,0.0431,0.6306,0.6069,0.9182
503251.315759,38,3,1034,446,170,22,fast,0.7519,4,0,0.0,0.0,0.7519,0.7519,0.0,0.4028,0.8427,0.3937,0.7874,3,0.375,0.984,1.0,3,0.0887,0.9128,0.5513,0.8305
503251.315759,38,4,1324,498,104,20,fast,0.3634,4,0,0.0,0.0,0.3634,0.4634,0.1,0.3936,0.8122,0.3385,0.6771,2,0.25,0.0,1.0,3,0.0774,0.9745,0.71,0.6446
503251.315759,38,5,1694,834,46,12,fast,0.6169,4,0,0.0,0.0,0.6169,0.7169,0.1,0.4167,0.889,0.2632,0.5263,4,0.5,0.9333,1.0,3,0.0952,0.8478,0.4041,0.5867
503251.337886,39,0,12,496,48,38,fast,0.129,4,0,0.0,0.0,0.129,0.279,0.15,0.2043,0.1819,0.5118,0.9765,1,0.125,0.0,1.0,3,0.0789,0.9893,0.2364,0.8215
503251.337886,39,1,66,500,176,30,fast,0.2005,4,0,0.0,0.0,0.2005,0.3505,0.15,0.2966,0.4891,0.4048,0.8095,1,0.125,0.0,1.0,3,0.0658,0.8581,0.5119,0.7668
503251.337886,39,2,964,504,186,26,fast,0.5538,4,0,0.0,0.0,0.5538,0.5538,0.0,0.2893,0.4647,0.2901,0.5802,2,0.25,0.7531,1.0,3,0.0431,0.6306,0.6069,0.9182
503251.337886,39,3,1034,446,170,22,fast,0.7519,4,0,0.0,0.0,0.7519,0.7519,0.0,0.4028,0.8427,0.3937,0.7874,3,0.375,0.984,1.0,3,0.0887,0.9128,0.5513,0.8305
503251.337886,39,4,1324,498,104,20,fast,0.3634,4,0,0.0,0.0,0.3634,0.4634,0.1,0.3936,0.8122,0.3385,0.6771,2,0.25,0.0,1.0,3,0.0774,0.9745,0.71,0.6446
503251.337886,39,5,1694,834,46,12,fast,0.6169,4,0,0.0,0.0,0.6169,0.7169,0.1,0.4167,0.889,0.2632,0.5263,4,0.5,0.9333,1.0,3,0.0952,0.8478,0.4041,0.5867
