timestamp,frame_id,uid,x,y,w,h,last_x,last_y,last_w,last_h,last_ts,last_slow_ts,last_source,state,frames_matched,frames_missing,confidence,hash_history,ttl,fast_miss_count,vx,vy,vw,vh,score,score_brut,fp_penalty,transition_density,s_td,density_raw,s_dens,cc_raw,s_cc,s_hreg,row_fill,tiers_active,vproj,s_vp,s_pf,bg_score
128635.440468,17,2,1718,470,132,30,1718,470,132,30,128635.1772035,128635.1772035,slow,MaskState.CONFIRMED,2,0,0.6192,68957714221165668|18446743388649685247,500,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.469585,18,2,1722,470,122,30,1718,470,132,30,128635.1772035,128635.1772035,slow,MaskState.CONFIRMED,2,1,0.6192,68957714221165668|18446743388649685247,499,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.491791,19,2,1722,470,122,30,1718,470,132,30,128635.4556359,128635.1772035,fast,MaskState.CONFIRMED,3,0,1.0,68957714221165668|18446743388649685247|211106232070370,500,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.516594,21,2,1722,470,122,30,1718,470,132,30,128635.4705365,128635.1772035,fast,MaskState.CONFIRMED,4,0,1.0,68957714221165668|18446743388649685247|211106232070370|18374386299038597368,500,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.543618,22,2,1725,470,118,30,1718,470,132,30,128635.4705365,128635.1772035,fast,MaskState.CONFIRMED,4,1,1.0,68957714221165668|18446743388649685247|211106232070370|18374386299038597368,499,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.568045,23,2,1722,470,122,30,1718,470,132,30,128635.5369116,128635.1772035,fast,MaskState.CONFIRMED,5,0,1.0,68957714221165668|18446743388649685247|211106232070370|18374386299038597368|14106333690489520321,500,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.595402,24,2,1722,470,122,30,1718,470,132,30,128635.5587667,128635.1772035,fast,MaskState.CONFIRMED,6,0,1.0,18446743388649685247|211106232070370|18374386299038597368|14106333690489520321|18446735827372359551,500,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.612893,25,2,1722,470,122,30,1718,470,132,30,128635.589033,128635.1772035,fast,MaskState.CONFIRMED,7,0,1.0,211106232070370|18374386299038597368|14106333690489520321|18446735827372359551|283726501646442429,500,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.659893,26,2,1723,470,121,30,1718,470,132,30,128635.6081306,128635.1772035,fast,MaskState.CONFIRMED,8,1,1.0,18374386299038597368|14106333690489520321|18446735827372359551|283726501646442429|283726501646442429,499,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
128635.678067,27,2,1723,470,121,30,1718,470,132,30,128635.646417,128635.1772035,fast,MaskState.CONFIRMED,9,0,1.0,14106333690489520321|18446735827372359551|283726501646442429|283726501646442429|15060036879049033475,500,0,115.206,0.0,-219.441,0.0,0.6192,0.6192,0.0,0.2825,0.4421,0.4727,0.9454,2,0.25,0.992,1.0,3,0.108,0.7199,0.336,0.8735
